X0	X1	X2	Y_true	Y_pred	
4.33628	3.0443	4.57547	60.4005	71.8102
1.00631	1.04064	3.30067	3.45649	10.5346
1.0712	1.73994	2.06159	3.84244	12.1198
4.30679	1.50783	3.76943	24.4783	36.7436
4.25724	3.0135	4.29139	55.0551	54.2961
2.58424	4.5449	2.24644	26.3847	12.9664
2.13434	3.29576	1.7885	12.5808	15.4267
4.50986	3.57854	1.94322	31.3611	25.165
2.09199	4.05065	3.17233	26.882	16.198
2.02089	3.20472	1.35559	8.77931	12.659
1.70466	3.62995	4.12283	25.5114	32.3281
1.47939	3.73765	4.13008	22.8371	29.2981
2.24293	1.32299	4.09484	12.151	17.0044
2.5511	1.25744	4.03541	12.945	15.4973
3.93202	3.78397	3.93595	58.5617	45.9
2.6498	2.04699	2.65754	14.4148	11.9672
4.58709	4.5733	3.43223	72.0018	62.5906
4.37795	2.98966	4.46862	58.4879	67.4575
4.21589	1.13301	4.35306	20.7931	37.451
4.8976	4.96959	3.56633	86.8011	78.7106
3.97344	4.22308	1.29281	21.6935	17.0763
1.51833	2.85504	4.52787	19.6278	28.0341
2.95942	3.19945	3.63197	34.3894	33.9572
2.10423	3.07411	1.08455	7.01556	10.4362
4.17442	3.68541	1.32681	20.4123	15.5548
2.96633	1.89947	4.09208	23.0566	30.3349
1.23377	4.46999	3.22692	17.7963	13.502
2.67034	4.43761	1.86686	22.1221	12.1877
4.90575	2.59302	1.60287	20.3897	14.0616
2.62658	1.80093	3.28408	15.5346	16.0737
2.17845	3.58646	1.79972	14.0611	11.8978
2.53894	4.92173	1.0992	13.7356	11.9121
2.92727	2.99059	1.15327	10.096	10.5464
3.63446	3.61709	3.16416	41.5965	36.2626
3.07279	3.41248	1.14003	11.9541	10.7278
2.13558	4.39956	1.45171	13.6397	11.8905
1.50284	2.92327	3.51035	15.4217	12.3813
4.08054	4.63765	3.3516	63.4262	43.6779
3.31939	3.4016	3.5783	40.4034	36.9828
1.86602	4.61984	4.35683	37.5589	37.4543
1.29393	3.50078	1.30381	5.90595	11.8553
2.3157	1.1387	3.44238	9.07717	13.3786
3.19579	3.18718	1.12466	11.4553	10.6811
3.15207	2.03719	3.96977	25.4913	31.335
1.43459	4.69011	1.14487	7.70312	11.8608
2.14476	4.58683	4.37895	43.0785	37.4543
1.87509	4.29367	4.93463	39.7289	37.4543
3.34859	3.00375	2.04162	20.5353	14.0114
3.31397	3.73599	3.26724	40.4514	35.9244
2.11042	2.50014	4.62313	24.3932	35.7328
3.82229	3.01083	2.28285	26.2716	20.4291
1.92409	4.43342	3.10233	26.4638	16.6122
2.73173	4.6879	3.39295	43.4503	37.4285
2.60415	1.10751	4.08943	11.7944	15.5731
1.01279	4.0686	2.26519	9.33398	11.8861
1.13878	4.73155	4.01634	21.6408	35.5116
4.54652	1.45883	2.87731	19.084	17.2714
3.0994	2.52695	3.68277	28.8436	30.1362
4.31731	2.66762	4.60801	53.0701	61.8181
2.36594	3.03662	4.58988	32.9758	37.4028
